,full_text,hashtag,id,location,retweet_hashtags,retweet_mentions,user,user_mentions
652,RT @USyd_Westmead: Congratulations to Professor David Gottlieb for this grant to support his important work in  gene-therapy technology #We…,[],1027837624264810497,,['Westmead'],"['Westmead Institute', 'West Sydney Health']",Georgia McCaughan,['USyd Westmead']
653,RT @USyd_Westmead: Congratulations to Professor David Gottlieb for this grant to support his important work in  gene-therapy technology #We…,[],1027787601795665920,"Sydney, New South Wales",['Westmead'],"['Westmead Institute', 'West Sydney Health']",SydneyHealthPartners,['USyd Westmead']
654,Congratulations to Professor David Gottlieb for this grant to support his important work in  gene-therapy technology #Westmead @WestmeadInst  @WestSydHealth https://t.co/EKmKIlsjyo,['Westmead'],1027783800128856064,"Westmead, Sydney",,,USyd Westmead,"['Westmead Institute', 'West Sydney Health']"
655,RT @ChristinaGangem: @jameschong_doc @StemCellsAus @AusStemCell @ISSCR @pknoepfler @WestmeadInst @60Mins @AnastasiaSMihai A case of many wh…,[],1031299721694871552,Australia,"['stemcell', 'bioethics']","['James Chong', 'Stem Cells Australia', 'Stem Cell Foundation', 'ISSCR', 'Paul Knoepfler', 'Westmead Institute', '60 Minutes Australia', 'Dr Anastasia Susie Mihailidou FAHA', '60 Minutes']",Stem Cells Australia,"['Christina Gangemi', 'James Chong', 'Stem Cells Australia', 'Stem Cell Foundation', 'ISSCR', 'Paul Knoepfler', 'Westmead Institute', '60 Minutes Australia', 'Dr Anastasia Susie Mihailidou FAHA']"
656,RT @jameschong_doc: #60mins please be careful about the end message your stories leave patients and families who naturally want the best fo…,['60mins'],1031274721642336257,"Brisbane, Australia",['60mins'],"['Stem Cells Australia', 'Stem Cell Foundation', 'ISSCR', 'Paul Knoepfler', 'Westmead Institute', '60 Minutes Australia', 'Dr Anastasia Susie Mihailidou FAHA']",CCRG,['James Chong']
657,"@jameschong_doc @StemCellsAus @AusStemCell @ISSCR @pknoepfler @WestmeadInst @60Mins @AnastasiaSMihai A case of many where media is solely interested in covering a story for its drama &amp; emotional value, even when a #stemcell treatment has not been solidly proven to be safe &amp; effective. Plus, it creates distrust between families &amp; medical research. Not on @60Minutes. #bioethics","['stemcell', 'bioethics']",1031182928628215809,"Melbourne, Victoria",,,Christina Gangemi,"['James Chong', 'Stem Cells Australia', 'Stem Cell Foundation', 'ISSCR', 'Paul Knoepfler', 'Westmead Institute', '60 Minutes Australia', 'Dr Anastasia Susie Mihailidou FAHA', '60 Minutes']"
658,RT @WestmeadInst: Researchers have found that #ovariancancer patients with a tumour mutation in the #BRAF gene respond well to treatment wi…,"['ovariancancer', 'BRAF']",1030403374653497344,,"['ovariancancer', 'BRAF']",[],Bella Poidevin,['Westmead Institute']
659,"WORK WITH US | We’re looking for a #researchassistant to join our Storr Liver Centre. Be a part of our world-renowned research team and contribute to studies focused on human #obesity, and #liver and gastrointestinal disease. Find out more: https://t.co/Lb1oPHrzcA https://t.co/eXdJd9EH21","['researchassistant', 'obesity', 'liver']",1030298849842098177,"Westmead, Sydney",,,Westmead Institute,[]
660,RT @Sydney_Vital: New research led by @WestmeadInst and Prof Anna DeFazio has found that targeting gene mutations can help treat patients w…,[],1029675123123531776,"Melbourne, Australia",['OvarianCancer'],['Westmead Institute'],kathryn alsop,"['Sydney Vital', 'Westmead Institute']"
661,RT @Sydney_Vital: New research led by @WestmeadInst and Prof Anna DeFazio has found that targeting gene mutations can help treat patients w…,[],1029671363320012800,,['OvarianCancer'],['Westmead Institute'],Liz Christie,"['Sydney Vital', 'Westmead Institute']"
